,YearsCode,ConvertedCompYearly
679,27,180000.0
680,10,51888.0
681,35,45396.0
682,6,33095.0
683,4,8364.0
684,3,70000.0
686,9,57072.0
687,30,130000.0
688,10,
689,3,22512.0
690,7,2568.0
691,5,22536.0
692,9,96000.0
693,15,32424.0
694,41,56208.0
695,6,
696,45,175000.0
697,13,
698,9,42156.0
700,14,91056.0
701,15,
702,35,68068.0
703,6,49119.0
704,6,
705,11,
706,3,
708,6,9864.0
709,25,55702.0
710,3,11832.0
711,9,41232.0
712,2,6852.0
713,20,39131.0
714,10,46644.0
715,13,72000.0
716,33,110000.0
717,20,45401.0
718,18,155000.0
719,15,54564.0
720,12,24300.0
721,7,
723,7,
724,30,
725,3,
726,18,75885.0
727,6,259692.0
728,12,125000.0
729,43,70000.0
731,15,30000.0
732,10,105000.0
733,29,68724.0
734,4,10992.0
735,6,40500.0
736,6,19152.0
737,4,
738,18,
739,5,12828.0
740,2,
741,20,77832.0
742,11,16050.0
743,15,
744,14,50928.0
745,2,5868.0
746,5,
748,5,
750,9,
751,35,156000.0
752,21,155844.0
753,15,
754,10,
755,12,77900.0
756,6,
757,4,27844.0
758,22,126083.0
759,12,51704.0
760,20,50806.0
761,42,108100.0
762,10,38400.0
763,9,
764,30,103776.0
765,1,
766,1,
767,16,
768,12,230000.0
769,10,45000.0
770,14,
771,12,
772,10,9773.0
773,9,
774,13,45401.0
775,20,120000.0
776,12,66500.0
777,20,31224.0
778,8,
779,6,8040.0
780,10,7344.0
781,11,3444.0
782,3,3564.0
783,17,
784,10,49296.0
785,15,125000.0
786,13,46482.0
787,8,20112.0
788,16,29320.0
789,19,297270.0
790,4,7548.0
791,28,116333.0
792,27,
793,10,54049.0
794,17,54049.0
795,4,
796,12,32429.0
797,11,27240.0
798,7,28536.0
799,30,400000.0
800,4,71093.0
801,8,5496.0
802,50,
803,4,14256.0
804,13,32429.0
805,27,160000.0
806,18,65976.0
807,4,
808,8,27025.0
809,9,49160.0
810,8,64000.0
811,16,57156.0
812,15,39564.0
813,30,50411.0
814,9,54049.0
815,10,51888.0
816,6,59448.0
817,14,135000.0
818,21,105300.0
819,36,
820,9,13332.0
821,9,46482.0
822,5,518868.0
823,14,180000.0
824,6,17868.0
825,4,
826,11,
827,4,25944.0
